id_espaco,rua,tipo,lat,lon,status_aluguel
CNEFE-2800308-0-0,"Calçadão João Pessoa, 7",Loja Térrea,-10.91,-37.0518,Disponível
CNEFE-2800308-0-1,"Calçadão João Pessoa, 20",Loja Térrea,-10.910073333333333,-37.05200000000001,Alugado
CNEFE-2800308-0-2,"Calçadão João Pessoa, 40",Residencial,-10.910146666666666,-37.0518,Alugado
CNEFE-2800308-0-3,"Calçadão João Pessoa, 60",Loja Térrea,-10.91022,-37.05200000000001,Disponível
CNEFE-2800308-0-4,"Calçadão João Pessoa, 80",Sala Comercial,-10.910293333333334,-37.0518,Alugado
CNEFE-2800308-0-5,"Calçadão João Pessoa, 100",Sala Comercial,-10.910366666666667,-37.05200000000001,Alugado
CNEFE-2800308-0-6,"Calçadão João Pessoa, 120",Residencial,-10.91044,-37.0518,Alugado
CNEFE-2800308-0-7,"Calçadão João Pessoa, 140",Residencial,-10.910513333333334,-37.05200000000001,Alugado
CNEFE-2800308-0-8,"Calçadão João Pessoa, 160",Residencial,-10.910586666666667,-37.0518,Alugado
CNEFE-2800308-0-9,"Calçadão João Pessoa, 180",Sala Comercial,-10.91066,-37.05200000000001,Alugado
CNEFE-2800308-0-10,"Calçadão João Pessoa, 200",Loja Térrea,-10.910733333333333,-37.0518,Alugado
CNEFE-2800308-0-11,"Calçadão João Pessoa, 220",Residencial,-10.910806666666666,-37.05200000000001,Alugado
CNEFE-2800308-0-12,"Calçadão João Pessoa, 240",Residencial,-10.91088,-37.0518,Alugado
CNEFE-2800308-0-13,"Calçadão João Pessoa, 260",Loja Térrea,-10.910953333333334,-37.05200000000001,Disponível
CNEFE-2800308-0-14,"Calçadão João Pessoa, 280",Residencial,-10.911026666666666,-37.0518,Alugado
CNEFE-2800308-0-15,"Calçadão João Pessoa, 300",Loja Térrea,-10.9111,-37.05200000000001,Alugado
CNEFE-2800308-0-16,"Calçadão João Pessoa, 320",Loja Térrea,-10.911173333333334,-37.0518,Alugado
CNEFE-2800308-0-17,"Calçadão João Pessoa, 340",Residencial,-10.911246666666667,-37.05200000000001,Alugado
CNEFE-2800308-0-18,"Calçadão João Pessoa, 360",Galpão,-10.91132,-37.0518,Abandonado/IPTU Atrasado
CNEFE-2800308-0-19,"Calçadão João Pessoa, 380",Residencial,-10.911393333333333,-37.05200000000001,Alugado
CNEFE-2800308-0-20,"Calçadão João Pessoa, 400",Residencial,-10.911466666666668,-37.0518,Alugado
CNEFE-2800308-0-21,"Calçadão João Pessoa, 420",Residencial,-10.91154,-37.05200000000001,Alugado
CNEFE-2800308-0-22,"Calçadão João Pessoa, 440",Residencial,-10.911613333333333,-37.0518,Alugado
