id_espaco,rua,tipo_ibge,lat,lon,nome_estab
IBGE-280252,"AVENIDA PEDRO CALAZANS, 273",Loja/Comércio/Serviço,-10.909156,-37.057448,LOJA DE PNEUS
IBGE-280253,"AVENIDA PEDRO CALAZANS, 273",Loja/Comércio/Serviço,-10.909073,-37.057449,OFICINA
IBGE-280254,"AVENIDA PEDRO CALAZANS, 273",Loja/Comércio/Serviço,-10.908979,-37.05744,MASTER SOM
IBGE-280256,"AVENIDA PEDRO CALAZANS, 243",Loja/Comércio/Serviço,-10.908769,-37.057471,SERTANEJO VEICULOS
IBGE-280255,"AVENIDA PEDRO CALAZANS, 251",Loja/Comércio/Serviço,-10.908881,-37.057469,EDINHO AUTOMOVEIS
IBGE-280263,"AVENIDA PEDRO CALAZANS, 0",Loja/Comércio/Serviço,-10.908632,-37.057446,LOJA DE AUTO
IBGE-280264,"AVENIDA PEDRO CALAZANS, 235",Loja/Comércio/Serviço,-10.908631,-37.057446,BAR
IBGE-280265,"AVENIDA PEDRO CALAZANS, 229",Residencial,-10.908614,-37.057443,
IBGE-280266,"AVENIDA PEDRO CALAZANS, 225",Loja/Comércio/Serviço,-10.908518,-37.057454,MATERIAL DE CONSTRUCAO
IBGE-280267,"AVENIDA PEDRO CALAZANS, 215",Loja/Comércio/Serviço,-10.908444,-37.057441,FTIES FUNDACAO DOS TRABALHADORES NAS INDUSTRIAS DO ESTADO DE SERGIPE
IBGE-280268,"AVENIDA PEDRO CALAZANS, 209",Loja/Comércio/Serviço,-10.908444,-37.057441,LOJA DE CARRO
IBGE-280269,"AVENIDA PEDRO CALAZANS, 201",Residencial,-10.908273,-37.057483,
IBGE-280270,"AVENIDA PEDRO CALAZANS, 201",Residencial,-10.908273,-37.057483,
IBGE-280271,"AVENIDA PEDRO CALAZANS, 183",Loja/Comércio/Serviço,-10.90833,-37.057422,DESTAQUE SEMINOVOS
IBGE-280346,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280344,"AVENIDA PEDRO CALAZANS, 0",Residencial,-10.909505,-37.057422,
IBGE-280343,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280342,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280341,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280345,"AVENIDA PEDRO CALAZANS, 891",Loja/Comércio/Serviço,-10.909502,-37.057424,J MOTOS
IBGE-280347,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280340,"AVENIDA PEDRO CALAZANS, 891",Loja/Comércio/Serviço,-10.909512,-37.057414,EXTREME VEICULOS
IBGE-280339,"AVENIDA PEDRO CALAZANS, 353",Residencial,-10.909771,-37.057404,
IBGE-280339,"AVENIDA PEDRO CALAZANS, 353",Loja/Comércio/Serviço,-10.909771,-37.057404,ESCRITORIO
IBGE-189337380,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-189337382,"AVENIDA PEDRO CALAZANS, 891",Residencial,-10.909502,-37.057424,
IBGE-280471,"AVENIDA PEDRO CALAZANS, 407",Loja/Comércio/Serviço,-10.910006,-37.057474,JUNIOR MONTAGENS
IBGE-280472,"AVENIDA PEDRO CALAZANS, 0",Loja/Comércio/Serviço,-10.91,-37.057467,LOJA
IBGE-280473,"AVENIDA PEDRO CALAZANS, 383",Residencial,-10.909867,-37.057376,
IBGE-280474,"AVENIDA PEDRO CALAZANS, 383",Residencial,-10.909836,-37.057252,
IBGE-280475,"AVENIDA PEDRO CALAZANS, 377",Residencial,-10.909898,-37.057406,
IBGE-280476,"AVENIDA PEDRO CALAZANS, 373",Residencial,-10.909856,-37.057376,
IBGE-280477,"AVENIDA PEDRO CALAZANS, 367",Residencial,-10.909752,-37.057416,
